Property + Unit +Room	Property	Unit	Room
1458 West 37th Street, Los Angeles, CA, USA RM305	1458 West 37th Street, Los Angeles, CA, USA		305
1458 West 37th Street, Los Angeles, CA, USA RM204	1458 West 37th Street, Los Angeles, CA, USA		204
1458 West 37th Street, Los Angeles, CA, USA RM303	1458 West 37th Street, Los Angeles, CA, USA		303
1458 West 37th Street, Los Angeles, CA, USA RM207	1458 West 37th Street, Los Angeles, CA, USA		207
1458 West 37th Street, Los Angeles, CA, USA RM306	1458 West 37th Street, Los Angeles, CA, USA		306
1458 West 37th Street, Los Angeles, CA, USA RM203	1458 West 37th Street, Los Angeles, CA, USA		203
1458 West 37th Street, Los Angeles, CA, USA RM206	1458 West 37th Street, Los Angeles, CA, USA		206
1458 West 37th Street, Los Angeles, CA, USA RM201	1458 West 37th Street, Los Angeles, CA, USA		201
1458 West 37th Street, Los Angeles, CA, USA RM307	1458 West 37th Street, Los Angeles, CA, USA		307
1460 West 37th Street, Los Angeles, CA, USA RM208	1460 West 37th Street, Los Angeles, CA, USA		208
1460 West 37th Street, Los Angeles, CA, USA RM206	1460 West 37th Street, Los Angeles, CA, USA		206
1460 West 37th Street, Los Angeles, CA, USA RM305	1460 West 37th Street, Los Angeles, CA, USA		305
1460 West 37th Street, Los Angeles, CA, USA RM204	1460 West 37th Street, Los Angeles, CA, USA		204
1460 West 37th Street, Los Angeles, CA, USA RM304	1460 West 37th Street, Los Angeles, CA, USA		304
1460 West 37th Street, Los Angeles, CA, USA RM302	1460 West 37th Street, Los Angeles, CA, USA		302
1460 West 37th Street, Los Angeles, CA, USA RM306	1460 West 37th Street, Los Angeles, CA, USA		306
1460 West 37th Street, Los Angeles, CA, USA RM205	1460 West 37th Street, Los Angeles, CA, USA		205
1460 West 37th Street, Los Angeles, CA, USA RM309	1460 West 37th Street, Los Angeles, CA, USA		309
1460 West 37th Street, Los Angeles, CA, USA RM209	1460 West 37th Street, Los Angeles, CA, USA		209
1460 West 37th Street, Los Angeles, CA, USA RM201	1460 West 37th Street, Los Angeles, CA, USA		201
1460 West 37th Street, Los Angeles, CA, USA RM301	1460 West 37th Street, Los Angeles, CA, USA		301
1460 West 37th Street, Los Angeles, CA, USA RM202	1460 West 37th Street, Los Angeles, CA, USA		202
1471 1/2 West 37th Street, Los Angeles, CA, USA RM204	1471 1/2 West 37th Street, Los Angeles, CA, USA		204
1471 1/2 West 37th Street, Los Angeles, CA, USA RM303	1471 1/2 West 37th Street, Los Angeles, CA, USA		303
1471 1/2 West 37th Street, Los Angeles, CA, USA RM305	1471 1/2 West 37th Street, Los Angeles, CA, USA		305
1471 1/2 West 37th Street, Los Angeles, CA, USA RM202	1471 1/2 West 37th Street, Los Angeles, CA, USA		202
1471 1/2 West 37th Street, Los Angeles, CA, USA RM203	1471 1/2 West 37th Street, Los Angeles, CA, USA		203
1471 1/2 West 37th Street, Los Angeles, CA, USA RM302	1471 1/2 West 37th Street, Los Angeles, CA, USA		302
1471 West 37th Street, Los Angeles, CA, USA RM202	1471 West 37th Street, Los Angeles, CA, USA		202
1471 West 37th Street, Los Angeles, CA, USA RM104	1471 West 37th Street, Los Angeles, CA, USA		104
1471 West 37th Street, Los Angeles, CA, USA RM201	1471 West 37th Street, Los Angeles, CA, USA		201
1471 West 37th Street, Los Angeles, CA, USA RM303	1471 West 37th Street, Los Angeles, CA, USA		303
1476 West 37th Place, Los Angeles, CA, USA CRM3	1476 West 37th Place, Los Angeles, CA, USA	C	3
1520 1/2 Arapahoe Street, Los Angeles, CA, USA RM3	1520 1/2 Arapahoe Street, Los Angeles, CA, USA		3
